[INFO] [1783785411.585767749] [coverage_follow_path_executor_node]: Coverage FollowPath executor started: action=/follow_path controller_id=FollowPath smoother_action=/smooth_path smoother_id=simple_smoother path=/coverage_path raw=/coverage_path_raw smoothed=/coverage_smoothed_path active=/coverage_active_path costmap=/global_costmap/costmap. This mode uses FollowPath, not NavigateThroughPoses. dynamic_obstacle_skip=true local_costmap=/local_costmap/costmap static_map=/map
[INFO] [1783785411.587434431] [coverage_follow_path_executor_node]: Loaded dynamic obstacle parameters: dynamic_rejoin_max_search_distance_m=5.00 dynamic_progress_search_forward_m=1.00 dynamic_max_rejoin_candidates=100 dynamic_rejoin_min_clearance_m=0.03 dynamic_collision_check_radius_m=0.23 dynamic_connector_goal_tolerance_m=0.15 dynamic_skip_replan_cooldown_sec=3.00 dynamic_skip_max_consecutive_failures=5
[INFO] [1783785411.656844200] [coverage_follow_path_executor_node]: [COVERAGE_ARM] IDLE use_robot_arm=false inflated_promotion=true front_lidar_threshold_m=0.50 front_tof_clear_threshold_m=0.50
[INFO] [1783785411.984861062] [coverage_follow_path_executor_node]: Static map received for dynamic obstacle reference: topic=/map frame=map size=161x127 resolution=0.050 occupied_threshold=50
[INFO] [1783785414.192367295] [coverage_follow_path_executor_node]: Local costmap received for dynamic obstacle skip: topic=/local_costmap/costmap frame=odom size=100x100 resolution=0.050 threshold=100 detection_radius=0.230m unknown_blocked=true
[INFO] [1783785417.194891203] [coverage_follow_path_executor_node]: Global costmap received for FollowPath validation: topic=/global_costmap/costmap frame=map size=161x127 resolution=0.050 max_allowed_nav_cost=50 unknown_blocked=true
[WARN] [1783785418.559824998] [coverage_follow_path_executor_node]: Waiting for executable /coverage_path before freezing: path has 13 blocked costmap samples, unknown_samples=0, max_observed_cost=97, max_allowed_nav_cost=50, max_tolerated_samples=25, max_tolerated_ratio=0.0100
[WARN] [1783785423.633073710] [coverage_follow_path_executor_node]: Waiting for executable /coverage_path before freezing: path has 13 blocked costmap samples, unknown_samples=0, max_observed_cost=97, max_allowed_nav_cost=50, max_tolerated_samples=25, max_tolerated_ratio=0.0100
[WARN] [1783785429.644377454] [coverage_follow_path_executor_node]: Waiting for executable /coverage_path before freezing: path has 13 blocked costmap samples, unknown_samples=0, max_observed_cost=97, max_allowed_nav_cost=50, max_tolerated_samples=25, max_tolerated_ratio=0.0100
[WARN] [1783785435.641906505] [coverage_follow_path_executor_node]: Waiting for executable /coverage_path before freezing: path has 13 blocked costmap samples, unknown_samples=0, max_observed_cost=97, max_allowed_nav_cost=50, max_tolerated_samples=25, max_tolerated_ratio=0.0100
[WARN] [1783785440.083489948] [coverage_follow_path_executor_node]: Coverage FollowPath validation failed: no_cached_path
[WARN] [1783785440.644882217] [coverage_follow_path_executor_node]: Waiting for executable /coverage_path before freezing: path has 13 blocked costmap samples, unknown_samples=0, max_observed_cost=97, max_allowed_nav_cost=50, max_tolerated_samples=25, max_tolerated_ratio=0.0100
[WARN] [1783785446.646320303] [coverage_follow_path_executor_node]: Waiting for executable /coverage_path before freezing: path has 13 blocked costmap samples, unknown_samples=0, max_observed_cost=97, max_allowed_nav_cost=50, max_tolerated_samples=25, max_tolerated_ratio=0.0100
[WARN] [1783785451.654540305] [coverage_follow_path_executor_node]: Waiting for executable /coverage_path before freezing: path has 13 blocked costmap samples, unknown_samples=0, max_observed_cost=97, max_allowed_nav_cost=50, max_tolerated_samples=25, max_tolerated_ratio=0.0100
[WARN] [1783785457.635230480] [coverage_follow_path_executor_node]: Waiting for executable /coverage_path before freezing: path has 13 blocked costmap samples, unknown_samples=0, max_observed_cost=97, max_allowed_nav_cost=50, max_tolerated_samples=25, max_tolerated_ratio=0.0100
[WARN] [1783785463.633694690] [coverage_follow_path_executor_node]: Waiting for executable /coverage_path before freezing: path has 13 blocked costmap samples, unknown_samples=0, max_observed_cost=97, max_allowed_nav_cost=50, max_tolerated_samples=25, max_tolerated_ratio=0.0100
